"city","cz","czname"
"adrian, mi","11500","Jackson city, MI"
"akron, oh","15200","Cleveland city, OH"
"alameda, ca","37800","San Francisco city, CA"
"alhambra, ca","38300","Los Angeles city, CA"
"aliquippa, pa","16300","Pittsburgh city, PA"
"alliance, oh","15000","Canton city, OH"
"alton, il","24900","Alton city, IL"
"ambridge, pa","16300","Pittsburgh city, PA"
"ames, ia","27501","Des Moines city, IA"
"anaconda, mt","34404","Butte-Silver Bow (remainde, MT"
"anderson, in","14000","Muncie city, IN"
"annapolis, md","11302","Baltimore city, MD"
"ann arbor, mi","11600","Detroit city, MI"
"ansonia, ct","20901","Bridgeport city, CT"
"asbury park, nj","19500","Brick Township CDP, NJ"
"ashland, oh","16000","Mansfield city, OH"
"ashtabula, oh","15200","Cleveland city, OH"
"astoria, or","38700","Longview city, WA"
"atchison, ks","29501","Kansas City city, KS"
"atlantic city, nj","19700","Philadelphia city, PA"
"attleboro, ma","20401","Providence city, RI"
"auburn, ny","17700","Syracuse city, NY"
"augusta, me","20100","Portland city, ME"
"aurora, il","24300","Chicago city, IL"
"barberton, oh","15200","Cleveland city, OH"
"batavia, ny","18000","Buffalo city, NY"
"battle creek, mi","12100","Kalamazoo city, MI"
"bay city, mi","11900","Saginaw city, MI"
"bayonne, nj","19600","Newark city, NJ"
"beacon, ny","19300","Poughkeepsie city, NY"
"beaver falls, pa","16300","Pittsburgh city, PA"
"bedford, in","14600","Bloomington city, IN"
"bellaire, oh","15600","Wheeling city, WV"
"belleville, il","24701","St. Louis city, MO"
"belleville, nj","19600","Newark city, NJ"
"bellevue, pa","16300","Pittsburgh city, PA"
"beloit, wi","24000","Racine city, WI"
"benton harbor, mi","13600","South Bend city, IN"
"berkeley, ca","37800","San Francisco city, CA"
"berwyn, il","24300","Chicago city, IL"
"bethlehem, pa","19000","Allentown city, PA"
"beverly hills, ca","38300","Los Angeles city, CA"
"binghamton, ny","17900","Binghamton city, NY"
"bloomfield, nj","19600","Newark city, NJ"
"boulder, co","28900","Denver city, CO"
"braddock, pa","16300","Pittsburgh city, PA"
"bradford, pa","18201","Olean city, NY"
"brawley, ca","38100","Yuma city, AZ"
"bremerton, wa","39400","Seattle city, WA"
"bridgeton, nj","19700","Philadelphia city, PA"
"bristol, ct","20901","Bridgeport city, CT"
"brockton, ma","20500","Boston city, MA"
"bucyrus, oh","16000","Mansfield city, OH"
"burbank, ca","38300","Los Angeles city, CA"
"burlingame, ca","37800","San Francisco city, CA"
"burlington, nj","19700","Philadelphia city, PA"
"butler, pa","16300","Pittsburgh city, PA"
"butte, mt","34404","Butte-Silver Bow (remainde, MT"
"cairo, il","25601","Carbondale city, IL"
"calumet city, il","24300","Chicago city, IL"
"cambridge, ma","20500","Boston city, MA"
"cambridge, oh","15400","Zanesville city, OH"
"camden, nj","19700","Philadelphia city, PA"
"campbell, oh","16400","Youngstown city, OH"
"canonsburg, pa","16300","Pittsburgh city, PA"
"carlisle, pa","19200","Harrisburg city, PA"
"carnegie, pa","16300","Pittsburgh city, PA"
"carteret, nj","19600","Newark city, NJ"
"chambersburg, pa","17400","Hagerstown city, MD"
"champaign, il","23500","Decatur city, IL"
"chanute, ks","29403","Bartlesville city, OK"
"charleroi, pa","16300","Pittsburgh city, PA"
"chelsea, ma","20500","Boston city, MA"
"chester, pa","19700","Philadelphia city, PA"
"chicago heights, il","24300","Chicago city, IL"
"chillicothe, oh","15700","Portsmouth city, OH"
"clairton, pa","16300","Pittsburgh city, PA"
"cleveland heights, oh","15200","Cleveland city, OH"
"cliffside park, nj","19600","Newark city, NJ"
"clifton, nj","19600","Newark city, NJ"
"coatesville, pa","19700","Philadelphia city, PA"
"coffeyville, ks","29403","Bartlesville city, OK"
"columbia, pa","19100","Reading city, PA"
"connersville, in","12600","Richmond city, IN"
"conshohocken, pa","19700","Philadelphia city, PA"
"coraopolis, pa","16300","Pittsburgh city, PA"
"corning, ny","18100","Elmira city, NY"
"coshocton, oh","15000","Canton city, OH"
"council bluffs, ia","28202","Omaha city, NE"
"cranston, ri","20401","Providence city, RI"
"crawfordsville, in","14400","Terre Haute city, IN"
"danbury, ct","20901","Bridgeport city, CT"
"danville, il","14500","Lafayette city, IN"
"davenport, ia","23801","Davenport city, IA"
"dearborn, mi","11600","Detroit city, MI"
"donora, pa","16300","Pittsburgh city, PA"
"dunkirk, ny","16500","Erie city, PA"
"duquesne, pa","16300","Pittsburgh city, PA"
"east chicago, in","14900","Gary city, IN"
"east cleveland, oh","15200","Cleveland city, OH"
"east liverpool, oh","16400","Youngstown city, OH"
"east moline, il","23801","Davenport city, IA"
"easton, pa","19000","Allentown city, PA"
"east orange, nj","19600","Newark city, NJ"
"east st. louis, il","24701","St. Louis city, MO"
"ecorse, mi","11600","Detroit city, MI"
"el dorado, ks","29301","Wichita city, KS"
"elgin, il","24300","Chicago city, IL"
"elizabeth, nj","19600","Newark city, NJ"
"elkhart, in","13700","Elkhart city, IN"
"ellwood city, pa","16400","Youngstown city, OH"
"elyria, oh","15100","Lorain city, OH"
"englewood, nj","19600","Newark city, NJ"
"euclid, oh","15200","Cleveland city, OH"
"evanston, il","24300","Chicago city, IL"
"everett, ma","20500","Boston city, MA"
"everett, wa","39400","Seattle city, WA"
"fall river, ma","20401","Providence city, RI"
"farrell, pa","16400","Youngstown city, OH"
"ferndale, mi","11600","Detroit city, MI"
"flint, mi","11600","Detroit city, MI"
"floral park, ny","19400","New York city, NY"
"fort scott, ks","29901","Joplin city, MO"
"fostoria, oh","13300","Findlay city, OH"
"frederick, md","19902","Cambridge city, MD"
"freeport, il","24400","Rockford city, IL"
"freeport, ny","19400","New York city, NY"
"fremont, oh","13300","Findlay city, OH"
"fullerton, ca","38300","Los Angeles city, CA"
"garfield, nj","19600","Newark city, NJ"
"garfield heights, oh","15200","Cleveland city, OH"
"glen cove, ny","19400","New York city, NY"
"glendale, ca","38300","Los Angeles city, CA"
"glens falls, ny","18600","Albany city, NY"
"gloucester, ma","20500","Boston city, MA"
"gloversville, ny","18500","Amsterdam city, NY"
"granite city, il","24900","Alton city, IL"
"greensburg, pa","16300","Pittsburgh city, PA"
"grosse pointe park, mi","11600","Detroit city, MI"
"groton, ct","20901","Bridgeport city, CT"
"hackensack, nj","19600","Newark city, NJ"
"hagerstown, md","19902","Cambridge city, MD"
"hamilton, oh","12701","Cincinnati city, OH"
"hammond, in","14900","Gary city, IN"
"hamtramck village, mi","11600","Detroit city, MI"
"hannibal, mo","25000","Quincy city, IL"
"harrison, nj","19600","Newark city, NJ"
"hartford, ct","20901","Bridgeport city, CT"
"harvey, il","24300","Chicago city, IL"
"hawthorne, nj","19600","Newark city, NJ"
"hempstead, ny","19400","New York city, NY"
"highland park, il","24300","Chicago city, IL"
"highland park, mi","11600","Detroit city, MI"
"hoboken, nj","19600","Newark city, NJ"
"holyoke, ma","20800","Springfield city, MA"
"homestead, pa","16300","Pittsburgh city, PA"
"hornell, ny","18100","Elmira city, NY"
"hudson, ny","18600","Albany city, NY"
"huntington beach, ca","38300","Los Angeles city, CA"
"independence, ks","29403","Bartlesville city, OK"
"independence, mo","29502","Kansas City city, MO"
"inglewood, ca","38300","Los Angeles city, CA"
"ironton, oh","17100","Huntington city, WV"
"irvington, nj","19600","Newark city, NJ"
"ithaca, ny","18100","Elmira city, NY"
"jamestown , ny","16500","Erie city, PA"
"jeannette, pa","16300","Pittsburgh city, PA"
"jeffersonville, in","13101","Louisville city, KY"
"jefferson city, mo","29601","Columbia city, MO"
"jersey city, nj","19600","Newark city, NJ"
"johnstown, ny","18500","Amsterdam city, NY"
"johnstown, pa","16200","Altoona city, PA"
"joliet, il","24300","Chicago city, IL"
"kankakee, il","24200","Kankakee city, IL"
"kansas city, ks","29502","Kansas City city, MO"
"kearny, nj","19600","Newark city, NJ"
"kensington","19700","Philadelphia city, PA"
"keokuk, ia","23600","Burlington city, IA"
"kewanee, il","23801","Davenport city, IA"
"kingston, ny","19300","Poughkeepsie city, NY"
"kingston, pa","18800","Scranton city, PA"
"klamath falls, or","36501","Altamont CDP, OR"
"kokomo, in","13900","Kokomo city, IN"
"lackawanna, ny","18000","Buffalo city, NY"
"laconia, nh","20600","Manchester city, NH"
"lafayette, il","25601","Carbondale city, IL"
"la grange, il","24300","Chicago city, IL"
"lakewood, oh","15200","Cleveland city, OH"
"lancaster, pa","19100","Reading city, PA"
"la porte, in","13600","South Bend city, IN"
"lawrence, ks","29204","Topeka city, KS"
"lebanon, pa","19100","Reading city, PA"
"lewiston, me","20100","Portland city, ME"
"lincoln, il","24802","Springfield city, IL"
"linden, nj","19600","Newark city, NJ"
"lockport, ny","18000","Buffalo city, NY"
"lodi, nj","19600","Newark city, NJ"
"logansport, in","13900","Kokomo city, IN"
"long beach, ca","38300","Los Angeles city, CA"
"long branch, nj","19500","Brick Township CDP, NJ"
"lowell, ma","20500","Boston city, MA"
"lynbrook, ny","19400","New York city, NY"
"lynn, ma","20500","Boston city, MA"
"mamaroneck, ny","19400","New York city, NY"
"maplewood, mo","24701","St. Louis city, MO"
"marietta, oh","15300","Parkersburg city, WV"
"marion, in","14000","Muncie city, IN"
"marion, oh","16000","Mansfield city, OH"
"martins ferry, oh","15600","Wheeling city, WV"
"massillon, oh","15000","Canton city, OH"
"mattoon, il","23301","Charleston city, IL"
"maywood, il","24300","Chicago city, IL"
"mckeesport, pa","16300","Pittsburgh city, PA"
"mckees rocks, pa","16300","Pittsburgh city, PA"
"meadville, pa","16500","Erie city, PA"
"medford, ma","20500","Boston city, MA"
"melrose park, il","24300","Chicago city, IL"
"meriden, ct","20901","Bridgeport city, CT"
"michigan city, in","13600","South Bend city, IN"
"middletown, ct","20901","Bridgeport city, CT"
"middletown, ny","19300","Poughkeepsie city, NY"
"middletown, oh","12701","Cincinnati city, OH"
"millville, nj","19700","Philadelphia city, PA"
"mishawaka, in","13600","South Bend city, IN"
"moline, il","23801","Davenport city, IA"
"monessen, pa","16300","Pittsburgh city, PA"
"monroe, mi","13501","Toledo city, OH"
"monrovia, ca","38300","Los Angeles city, CA"
"montclair, nj","19600","Newark city, NJ"
"morristown, nj","19600","Newark city, NJ"
"mount clemens, mi","11600","Detroit city, MI"
"mount vernon, ny","19400","New York city, NY"
"munhall, pa","16300","Pittsburgh city, PA"
"muscatine, ia","22100","Iowa City city, IA"
"muskegon, mi","12200","Grand Rapids city, MI"
"muskegon heights, mi","12200","Grand Rapids city, MI"
"nashua, nh","20600","Manchester city, NH"
"new albany, in","13101","Louisville city, KY"
"newark, oh","15900","Columbus city, OH"
"new bedford, ma","20401","Providence city, RI"
"new britain, ct","20901","Bridgeport city, CT"
"new brunswick, nj","19600","Newark city, NJ"
"newburgh, ny","19300","Poughkeepsie city, NY"
"new castle, in","14000","Muncie city, IN"
"new castle, pa","16400","Youngstown city, OH"
"new haven, ct","20901","Bridgeport city, CT"
"new london, ct","20901","Bridgeport city, CT"
"newport, ri","20401","Providence city, RI"
"new rochelle, ny","19400","New York city, NY"
"newton, ia","21900","Marshalltown city, IA"
"newton, ma","20500","Boston city, MA"
"niagara falls, ny","18000","Buffalo city, NY"
"niles, mi","13600","South Bend city, IN"
"niles, oh","16400","Youngstown city, OH"
"norristown borough, pa","19700","Philadelphia city, PA"
"north adams, ma","20902","Pittsfield city, MA"
"north braddock, pa","16300","Pittsburgh city, PA"
"north tonawanda, ny","18000","Buffalo city, NY"
"norwalk, ct","20901","Bridgeport city, CT"
"norwich, ct","20901","Bridgeport city, CT"
"nutley, nj","19600","Newark city, NJ"
"oakland, ca","37800","San Francisco city, CA"
"oak park village","24300","Chicago city, IL"
"ogdensburg, ny","18300","Watertown city, NY"
"ogden, ut","36100","Salt Lake City city, UT"
"oil city, pa","16500","Erie city, PA"
"oneida, ny","17700","Syracuse city, NY"
"ontario, ca","38300","Los Angeles city, CA"
"orange, nj","19600","Newark city, NJ"
"ossining, ny","19400","New York city, NY"
"ottawa, il","23900","Peoria city, IL"
"painesville, oh","15200","Cleveland city, OH"
"palo alto, ca","37500","San Jose city, CA"
"park ridge, il","24300","Chicago city, IL"
"parma, oh","15200","Cleveland city, OH"
"parsons, ks","29403","Bartlesville city, OK"
"pasadena, ca","38300","Los Angeles city, CA"
"passaic, nj","19600","Newark city, NJ"
"paterson, nj","19600","Newark city, NJ"
"pawtucket, ri","20401","Providence city, RI"
"peekskill, ny","19400","New York city, NY"
"perth amboy, nj","19600","Newark city, NJ"
"peru, in","13900","Kokomo city, IN"
"phillipsburg, nj","19600","Newark city, NJ"
"phoenixville, pa","19700","Philadelphia city, PA"
"piqua, oh","12501","Dayton city, OH"
"pittsburg, ks","29901","Joplin city, MO"
"plainfield, nj","19600","Newark city, NJ"
"pleasantville, nj","19700","Philadelphia city, PA"
"pomona, ca","38300","Los Angeles city, CA"
"pontiac, mi","11600","Detroit city, MI"
"port chester, ny","19400","New York city, NY"
"port huron, mi","11600","Detroit city, MI"
"port jervis, ny","19300","Poughkeepsie city, NY"
"portsmouth, oh","15700","Portsmouth city, OH"
"pottstown, pa","19700","Philadelphia city, PA"
"pottsville, pa","19100","Reading city, PA"
"racine, wi","24000","Racine city, WI"
"rahway, nj","19600","Newark city, NJ"
"red bank, nj","19500","Brick Township CDP, NJ"
"redlands, ca","38300","Los Angeles city, CA"
"rensselaer, ny","18600","Albany city, NY"
"richmond, ca","37800","San Francisco city, CA"
"richmond, in","12600","Richmond city, IN"
"ridgefield park, nj","19600","Newark city, NJ"
"ridgewood, nj","19600","Newark city, NJ"
"river rouge, mi","11600","Detroit city, MI"
"riverside, ca","38300","Los Angeles city, CA"
"rochester, ny","18000","Buffalo city, NY"
"rock island, il","23801","Davenport city, IA"
"rockville centre, ny","19400","New York city, NY"
"rome, ny","17700","Syracuse city, NY"
"roselle, nj","19600","Newark city, NJ"
"royal oak, mi","11600","Detroit city, MI"
"rutherford, nj","19600","Newark city, NJ"
"saint joseph, mo","29503","St. Joseph city, MO"
"saint louis, mo","24701","St. Louis city, MO"
"saint paul, mn","21501","Minneapolis city, MN"
"salem, or","38901","Eugene city, OR"
"salinas, ca","37500","San Jose city, CA"
"salisbury, md","17400","Hagerstown city, MD"
"san bernardino, ca","38300","Los Angeles city, CA"
"san buenaventura (ventura), ca","38300","Los Angeles city, CA"
"sandusky, oh","15100","Lorain city, OH"
"san leandro, ca","37800","San Francisco city, CA"
"san mateo, ca","37800","San Francisco city, CA"
"santa ana, ca","38300","Los Angeles city, CA"
"santa cruz, ca","37500","San Jose city, CA"
"santa monica, ca","38300","Los Angeles city, CA"
"saratoga springs, ny","18600","Albany city, NY"
"schenectedy, ny","18600","Albany city, NY"
"shaker heights, oh","15200","Cleveland city, OH"
"sharon, pa","16400","Youngstown city, OH"
"shelbyville, in","14200","Indianapolis city (remaind, IN"
"shorewood, wi","24100","Milwaukee city, WI"
"sioux city, ia","28001","Sioux City city, IA"
"somerville, ma","20500","Boston city, MA"
"south gate, ca","38300","Los Angeles city, CA"
"south orange, nj","19600","Newark city, NJ"
"south pasadena, ca","38300","Los Angeles city, CA"
"south river, nj","19600","Newark city, NJ"
"springfield, oh","12501","Dayton city, OH"
"st. charles, mo","24701","St. Louis city, MO"
"st. cloud, mn","21400","St. Cloud city, MN"
"stamford, ct","20901","Bridgeport city, CT"
"steelton, pa","19200","Harrisburg city, PA"
"stockton, ca","37400","Sacramento city, CA"
"struthers, oh","16400","Youngstown city, OH"
"summit, nj","19600","Newark city, NJ"
"swissvale, pa","16300","Pittsburgh city, PA"
"tacoma, wa","39400","Seattle city, WA"
"taunton, ma","20401","Providence city, RI"
"trenton, nj","19600","Newark city, NJ"
"troy, ny","18600","Albany city, NY"
"union city, nj","19600","Newark city, NJ"
"uniontown, pa","16300","Pittsburgh city, PA"
"university city, mo","24701","St. Louis city, MO"
"urbana, il","23500","Decatur city, IL"
"utica, ny","17700","Syracuse city, NY"
"vallejo, ca","37800","San Francisco city, CA"
"valley stream, ny","19400","New York city, NY"
"vandergrift, pa","16300","Pittsburgh city, PA"
"walla walla, wa","39100","Kennewick city, WA"
"warren, oh","16400","Youngstown city, OH"
"washington, pa","16300","Pittsburgh city, PA"
"waterbury, ct","20901","Bridgeport city, CT"
"waterville, me","20100","Portland city, ME"
"watervliet, ny","18600","Albany city, NY"
"waukegan, il","24300","Chicago city, IL"
"waukesha, wi","24100","Milwaukee city, WI"
"webster groves, mo","24701","St. Louis city, MO"
"west chester, pa","19700","Philadelphia city, PA"
"westfield, nj","19600","Newark city, NJ"
"west new york, nj","19600","Newark city, NJ"
"west orange, nj","19600","Newark city, NJ"
"white plains, ny","19400","New York city, NY"
"whittier, ca","38300","Los Angeles city, CA"
"wilkes-barre, pa","18800","Scranton city, PA"
"wilkinsburg, pa","16300","Pittsburgh city, PA"
"wilmette, il","24300","Chicago city, IL"
"winnetka, il","24300","Chicago city, IL"
"winona, mn","22800","Eau Claire city, WI"
"woonsocket, ri","20401","Providence city, RI"
"wooster, oh","15000","Canton city, OH"
"worcester, ma","20500","Boston city, MA"
"xenia, oh","12501","Dayton city, OH"
"yonkers, ny","19400","New York city, NY"
"york, pa","19200","Harrisburg city, PA"
"ypsilanti, mi","11600","Detroit city, MI"
